TimeStamp, Model Name, Event Details, CPU Usage(%), RAM(%)
2022-10-21 12:16:08, Head Pose, Head Turned Right, 45.75, 90.3
2022-10-21 12:16:08, Head Pose, Head Turned Right, 45.75, 90.3
2022-10-21 12:16:09, Head Pose, Head Turned Right, 45.75, 90.3
2022-10-21 12:16:09, Head Pose, Head Turned Right, 45.75, 90.3
2022-10-21 12:16:10, Head Pose, Head Turned Right, 45.75, 90.3
2022-10-21 12:16:11, Head Pose, Head Turned Right, 45.75, 90.3
2022-10-21 12:16:11, Head Pose, Head Turned Right, 44.125, 90.2
2022-10-21 12:16:14, Head Pose, Head Turned Right, 44.125, 90.2
2022-10-21 12:16:15, Head Pose, Head Turned Right, 44.125, 90.2
2022-10-21 12:16:15, Head Pose, Head Turned Right, 44.125, 90.2
2022-10-21 12:16:16, Head Pose, Head Turned Right, 44.125, 90.2
2022-10-21 12:16:16, Head Pose, Head Turned Right, 48.625, 90.1
2022-10-21 12:16:17, Head Pose, Head Turned Right, 48.625, 90.2
2022-10-21 12:16:17, Head Pose, Head Turned Right, 48.625, 90.1
2022-10-21 12:16:18, Head Pose, Head Turned Right, 48.625, 90.1
2022-10-21 12:16:18, Head Pose, Head Turned Right, 48.625, 90.1
2022-10-21 12:16:19, Head Pose, Head Turned Right, 48.625, 90.0
2022-10-21 12:16:19, Head Pose, Head Turned Right, 48.625, 89.8
2022-10-21 12:16:20, Head Pose, Head Turned Right, 48.625, 89.8
2022-10-21 12:16:20, Head Pose, Head Turned Right, 48.625, 89.8
2022-10-21 12:16:21, Head Pose, Head Turned Right, 48.625, 89.8
2022-10-21 12:16:21, Head Pose, Head Turned Right, 46.75, 89.8
2022-10-21 12:16:24, Head Pose, Head Turned Right, 46.75, 89.4
2022-10-21 12:16:25, Head Pose, Head Turned Right, 46.75, 89.4
2022-10-21 12:16:25, Head Pose, Head Turned Right, 46.75, 89.4
2022-10-21 12:16:26, Head Pose, Head Turned Right, 46.75, 89.4
2022-10-21 12:16:26, Head Pose, Head Turned left, 51.0, 89.4
2022-10-21 12:16:27, Head Pose, Head Turned left, 51.0, 89.4
2022-10-21 12:16:27, Head Pose, Head Turned left, 51.0, 89.4
2022-10-21 12:16:29, Head Pose, Head Turned left, 51.0, 89.4
2022-10-21 12:16:34, Head Pose, Head Turned left, 56.875, 89.3
2022-10-21 12:16:35, Head Pose, Head Turned left, 56.875, 89.3
2022-10-21 12:16:35, Head Pose, Head Turned left, 56.875, 89.3
2022-10-21 12:16:36, Head Pose, Head Turned left, 56.875, 89.3
2022-10-21 12:16:36, Head Pose, Head Turned left, 61.375, 89.3
2022-10-21 12:16:38, Head Pose, Head Turned Right, 61.375, 89.3
2022-10-21 12:16:40, Head Pose, Head Turned Right, 61.375, 89.4
2022-10-21 12:16:41, Head Pose, Head Turned Right, 61.375, 89.4
2022-10-21 12:16:42, Head Pose, Head Turned Right, 57.49999999999999, 89.5
2022-10-21 12:16:43, Head Pose, Head Turned Right, 57.49999999999999, 89.7
2022-10-21 12:16:45, Head Pose, Head Turned Right, 57.49999999999999, 89.7
2022-10-21 12:16:46, Head Pose, Head Turned Right, 57.49999999999999, 89.7
2022-10-21 12:16:52, Head Pose, Head Turned Right, 64.0, 89.4
2022-10-21 12:16:54, Head Pose, Head Turned Right, 64.0, 89.4
2022-10-21 12:16:54, Head Pose, Head Turned Right, 64.0, 89.4
2022-10-21 12:16:55, Head Pose, Head Turned Right, 64.0, 89.5
2022-10-21 12:16:56, Head Pose, Head Turned left, 66.875, 89.5
2022-10-21 12:16:57, Head Pose, Head Turned left, 66.875, 89.5
2022-10-21 12:16:57, Head Pose, Head Turned left, 66.875, 89.5
2022-10-21 12:16:58, Head Pose, Head Turned left, 66.875, 89.5
2022-10-21 12:16:58, Head Pose, Head Turned left, 66.875, 89.5
2022-10-21 12:16:59, Head Pose, Head Turned left, 66.875, 89.2
2022-10-21 12:16:59, Head Pose, Head Turned left, 66.875, 89.2
2022-10-21 12:17:00, Head Pose, Head Turned left, 66.875, 89.2
2022-10-21 12:17:00, Head Pose, Head Turned left, 66.875, 89.3
2022-10-21 12:17:01, Head Pose, Head Turned left, 66.875, 89.3
2022-10-21 12:17:02, Head Pose, Head Turned left, 61.5, 89.3
2022-10-21 12:17:02, Head Pose, Head Turned left, 61.5, 89.3
2022-10-21 12:17:03, Head Pose, Head Turned left, 61.5, 89.3
2022-10-21 12:17:03, Head Pose, Head Turned left, 61.5, 89.3
2022-10-21 12:17:04, Head Pose, Head Turned left, 61.5, 89.3
2022-10-21 12:17:04, Head Pose, Head Turned left, 61.5, 89.3
2022-10-21 12:17:05, Head Pose, Head Turned left, 61.5, 89.3
2022-10-21 12:17:05, Head Pose, Head Turned left, 61.5, 89.3
2022-10-21 12:17:06, Head Pose, Head Turned left, 61.5, 89.3
2022-10-21 12:17:06, Head Pose, Head Turned left, 57.62500000000001, 89.3
2022-10-21 12:17:07, Head Pose, Head Turned left, 57.62500000000001, 89.3
2022-10-21 12:17:07, Head Pose, Head Turned left, 57.62500000000001, 89.3
2022-10-21 12:17:08, Head Pose, Head Turned left, 57.62500000000001, 89.3
2022-10-21 12:17:08, Head Pose, Head Turned left, 57.62500000000001, 89.3
2022-10-21 12:17:09, Head Pose, Head Turned left, 57.62500000000001, 89.3
2022-10-21 12:17:09, Head Pose, Head Turned left, 57.62500000000001, 89.3
2022-10-21 12:17:10, Head Pose, Head Turned left, 57.62500000000001, 89.3
2022-10-21 12:17:10, Head Pose, Head Turned left, 57.62500000000001, 89.3
2022-10-21 12:17:11, Head Pose, Head Turned left, 57.62500000000001, 89.3
2022-10-21 12:17:12, Head Pose, Head Turned left, 53.0, 89.3
2022-10-21 12:17:12, Head Pose, Head Turned left, 53.0, 89.3
2022-10-21 12:17:13, Head Pose, Head Turned left, 53.0, 89.2
2022-10-21 12:17:15, Head Pose, Head Turned Right, 53.0, 89.2
2022-10-21 12:17:15, Head Pose, Head Turned Right, 53.0, 89.2
2022-10-21 12:17:17, Head Pose, Head Turned Right, 50.74999999999999, 89.2
2022-10-21 12:17:17, Head Pose, Head Turned Right, 50.74999999999999, 89.2
2022-10-21 12:17:18, Head Pose, Head Turned Right, 50.74999999999999, 89.2
2022-10-21 12:17:18, Head Pose, Head Turned Right, 50.74999999999999, 89.2
